"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.608511705414e-190,1.74353590359579,0.629,0.239,3.28055962319186e-186,"0","TFRC"
1.05799855965008e-188,1.30710043669319,0.55,0.178,2.15778806240634e-184,"0","CFD"
4.02065011898065e-188,1.2117518582993,0.881,0.505,8.20011591766105e-184,"0","GLUL"
1.25412114205363e-187,1.41399296332611,0.631,0.215,2.55778006921838e-183,"0","MSR1"
5.82005317175285e-187,1.23411789142804,0.823,0.413,1.18699984437899e-182,"0","SGK1"
4.52978842562519e-186,0.691136094605403,1,0.984,9.23850349406258e-182,"0","B2M"
2.721502763697e-185,2.17490664598887,0.497,0.149,5.55050488656004e-181,"0","GM2A"
1.9401587773943e-180,2.2500902341154,0.442,0.113,3.95695382649568e-176,"0","TREM2"
1.6238424222529e-179,1.32146734572345,0.792,0.438,3.31182662018478e-175,"0","ASAH1"
2.3348869852735e-179,1.68324721028202,0.616,0.243,4.7620020064653e-175,"0","LAMP1"
3.60420813883354e-179,1.16494694501729,0.808,0.369,7.35078249915101e-175,"0","C1QA"
9.88521528713292e-177,1.14081303731594,0.855,0.458,2.01608965781076e-172,"0","LAPTM5"
5.92031430315718e-173,1.80268141515819,0.54,0.178,1.20744810212891e-168,"0","ADA2"
2.27951623916947e-166,0.835163499832014,0.997,0.753,4.64907336978614e-162,"0","HLA-DRA"
3.01228086559944e-166,0.907120112065005,0.961,0.661,6.14354682539006e-162,"0","VIM"
2.84874294700688e-163,2.03184688747126,0.452,0.131,5.81001124042053e-159,"0","MS4A4A"
1.0937414772993e-162,0.999099738595249,0.851,0.429,2.23068574295193e-158,"0","FCER1G"
3.64979597673731e-160,1.66669238580596,0.535,0.183,7.44375889455574e-156,"0","CCL3"
1.72429946387315e-159,1.45127822665965,0.69,0.329,3.51670875656928e-155,"0","SOD2"
4.39896210651284e-154,1.18349588321705,0.719,0.313,8.97168321623295e-150,"0","CYBB"
7.19897994941819e-151,0.916556670985653,0.934,0.745,1.46823196068384e-146,"0","HLA-A"
6.87277237641166e-149,2.1568895399173,0.388,0.102,1.40170192616916e-144,"0","CYP27A1"
6.31270302154995e-147,2.20822871914325,0.361,0.086,1.28747578124511e-142,"0","LILRB4"
1.46765284812934e-143,1.87036904873574,0.439,0.134,2.99327798375979e-139,"0","CD163"
1.21792906730717e-141,1.58249323175659,0.524,0.195,2.48396633277297e-137,"0","MFSD1"
9.02481594802552e-140,0.723637270187908,0.98,0.678,1.8406112125998e-135,"0","HLA-DRB1"
9.5318878248876e-136,1.19033287799353,0.626,0.259,1.94402852188583e-131,"0","MS4A7"
5.39338900981596e-135,1.35603486620441,0.598,0.257,1.09998168855196e-130,"0","TPP1"
1.60905916463092e-134,1.90035326508842,0.435,0.142,3.28167616626475e-130,"0","NUPR1"
2.94622081600463e-133,2.42904353839939,0.403,0.123,6.00881735424145e-129,"0","CCL18"
8.08216289309892e-130,0.995163579057602,0.816,0.511,1.64835712204752e-125,"0","CD81"
2.21181334436841e-129,0.939674812992196,0.851,0.591,4.51099331583936e-125,"0","PRDX1"
2.02704808095731e-128,0.893232074547834,0.842,0.463,4.13416456111243e-124,"0","HLA-DQB1"
3.95761660390314e-126,0.800317131664433,0.911,0.616,8.07155906366045e-122,"0","CYBA"
9.74641955203533e-126,1.19876296218592,0.562,0.228,1.98778226763761e-121,"0","C5AR1"
1.19681556473634e-125,0.649306488901066,0.988,0.856,2.44090534427977e-121,"0","HLA-B"
2.44089288216407e-125,1.38864958587501,0.522,0.202,4.97820103317362e-121,"0","CD14"
2.04184079215275e-122,1.47833431310809,0.508,0.197,4.16433429559553e-118,"0","FCGR3A"
6.91333226890895e-122,0.669165739306383,0.993,0.829,1.40997411624398e-117,"0","CD74"
2.66279654560113e-121,1.74371064410046,0.444,0.162,5.4307735547535e-117,"0","CREG1"
3.70539725587015e-120,0.744353529115181,0.91,0.498,7.55715770334717e-116,"0","HLA-DRB5"
5.96272410049889e-120,0.87803095586041,0.801,0.43,1.21609758029675e-115,"0","HLA-DQA1"
3.41740619705682e-119,1.31244720730342,0.559,0.247,6.96979993889738e-115,"0","ATP6AP2"
8.72385143080557e-119,1.32283728459551,0.56,0.246,1.7792294993128e-114,"0","HLA-DMB"
4.5180453440711e-117,1.1711324947371,0.698,0.371,9.214553479233e-113,"0","CTSC"
3.36336351126652e-115,1.56932924155546,0.529,0.235,6.85957988122807e-111,"0","FN1"
